# X, Y, Z, Distance, R, G, B, relative luminosity, relative radius, Vmag, BV
-9.27308267502849, 23.227469980401153, -16.117409388767783, 29.76190476190476, 0.5989361121149748, 0.6841866664500202, 0.9999999999999998, 1304.603643596443, 6.719529735112374, 2.07, -0.038
-7.680346850633214, 14.782671389688675, -0.9349752521930768, 16.69727834362999, 0.902814127170999, 0.8972416678700439, 1.0, 338.4141515355474, 7.911138227302962, 2.28, 0.38
12.091721499740743, -8.731644943107188, -40.29084397957581, 42.955326460481096, 1.0, 0.8073638027016472, 0.6019045810822132, 513.0872112333719, 21.430066066954844, 3.88, 1.013
-23.47800839007232, 66.08089084601224, -74.25939719731564, 102.1450459652707, 0.55, 0.647, 1.0, 7631.1810669733195, 10.29736312995157, 2.83, -0.19
-4.884296499677475, 29.72524234876421, -83.54339809634854, 88.80994671403198, 0.9999999999999996, 0.7556446425521406, 0.4974526769718735, 2944.9665133232957, 62.18007877416331, 3.56, 1.214
3.290467817420904, -4.718593467732672, -4.7913749668962815, 7.4749588877261175, 0.9999999180023682, 0.9188356729031146, 0.8795509474246536, 41.24532771711868, 3.8777184530068673, 2.82, 0.618
5.206900032140766, -4.6477362328081515, -22.470784746366004, 23.52387673488591, 0.7383615187917784, 0.7864607296353447, 0.9999999996568484, 146.95180740596118, 3.641595431634011, 3.93, 0.175
4.98547770244204, -4.209969611458973, -22.82145856747387, 23.730422401518748, 1.0, 0.7882206139970908, 0.5634585348826869, 612.0234734903057, 25.07774584784637, 2.4, 1.083
-92.62772140233938, 155.45781472349034, -28.14298983730276, 183.15018315018315, 0.55, 0.647, 1.0, 11111.478659108056, 12.167748169617864, 3.69, -0.196
-13.144642584124995, 22.860761197263535, -16.400346504201902, 31.06554830692762, 1.0, 0.7423486601510569, 0.4731414622790727, 470.6685594737664, 26.08563517299332, 3.27, 1.268
-36.3000857924435, 59.44252723937221, -7.599553047827282, 70.0770847932726, 1.0, 0.7662702159737664, 0.5191473031300224, 6184.565531706509, 86.5548245711643, 2.24, 1.17
